species,plant.height,SLA,seed.mass,kew.seed
Acalypha.virginica,NA,NA,0.631111111,kew
Achillea.millefolium,0.64,2.049586777,0.219909091,field
Achillea.millefolium,0.71,2.459731544,NA,
Achillea.millefolium,0.8,1.627906977,NA,
Achillea.millefolium,0.72,4.226415094,NA,
Achillea.millefolium,0.68,7.641509434,NA,
Achillea.millefolium,0.66,0.229268293,NA,
Achillea.millefolium,0.75,NA,NA,
Achillea.millefolium,0.84,1.157657658,NA,
Achillea.millefolium,0.68,1.028753994,NA,
Achillea.millefolium,0.62,0.79,NA,
Achillea.millefolium,0.83,1.476190476,NA,
Achillea.millefolium,0.66,NA,NA,
Achillea.millefolium,0.74,NA,NA,
Achillea.millefolium,0.57,2.68852459,NA,
Achillea.millefolium,0.69,3.297297297,NA,
Achillea.millefolium,0.62,2.328440367,NA,
Achillea.millefolium,0.59,0.372413793,NA,
Achillea.millefolium,0.66,2.55361596,NA,
Achillea.millefolium,0.75,0.523706897,NA,
Achillea.millefolium,0.83,2.733990148,NA,
Agastache.foeniculum,NA,NA,0.29,field
Agastache.nepetoides,NA,NA,0.330142857,field
Agrimonia.parviflora,NA,NA,7.17,kew
Agrostis.gigantea,NA,NA,0.078333333,kew
Agrostis.hyemalis,NA,NA,0.058357143,kew
Alliaria.petiolata,NA,NA,2.597888889,kew
Allium.cernuum,NA,NA,3.85,field
Allium.vineale,0.47,NA,19,field
Allium.vineale,0.385,NA,NA,
Allium.vineale,0.475,NA,NA,
Allium.vineale,0.465,NA,NA,
Allium.vineale,0.455,NA,NA,
Allium.vineale,0.49,NA,NA,
Allium.vineale,0.36,NA,NA,
Allium.vineale,0.515,NA,NA,
Allium.vineale,0.51,NA,NA,
Allium.vineale,0.425,NA,NA,
Allium.vineale,0.435,NA,NA,
Allium.vineale,0.46,NA,NA,
Allium.vineale,0.465,NA,NA,
Allium.vineale,0.45,NA,NA,
Allium.vineale,0.45,NA,NA,
Allium.vineale,0.435,NA,NA,
Allium.vineale,0.455,NA,NA,
Allium.vineale,0.41,NA,NA,
Allium.vineale,0.48,NA,NA,
Allium.vineale,0.39,NA,NA,
Ambrosia.artemisiifolia,NA,NA,3.99,kew
Ambrosia.psilostachya,NA,NA,6.618142857,kew
Amorpha.canescens,NA,NA,1.9317,field
Amorpha.canescens,NA,NA,1.9317,field
Andropogon.gerardii,2.11,8.561538462,3.1,field
Andropogon.gerardii,2.04,12.36507937,NA,
Andropogon.gerardii,2.22,11.71717172,NA,
Andropogon.gerardii,2.23,11.67326733,NA,
Andropogon.gerardii,1.82,10.34351145,NA,
Andropogon.gerardii,1.75,11.85245902,NA,
Andropogon.gerardii,2.14,13.3220339,NA,
Andropogon.gerardii,1.71,14.58241758,NA,
Andropogon.gerardii,2.12,11.34188034,NA,
Andropogon.gerardii,2.03,11.64516129,NA,
Andropogon.gerardii,2.015,14.39361702,NA,
Andropogon.gerardii,2.1,11.13559322,NA,
Andropogon.gerardii,1.99,11.35714286,NA,
Andropogon.gerardii,1.78,12.83908046,NA,
Andropogon.gerardii,2.02,11.27906977,NA,
Andropogon.gerardii,2.13,13.03125,NA,
Andropogon.gerardii,2.13,14.30769231,NA,
Andropogon.gerardii,2.09,12.92682927,NA,
Andropogon.gerardii,1.85,13.92727273,NA,
Andropogon.gerardii,1.85,12.48022599,NA,
Anemone.cylindrica,NA,NA,1.056,field
Anemone.virginiana,NA,NA,1.13,field
Apocynum.cannabinum,0.72,10.58461538,1.0688,kew
Apocynum.cannabinum,0.815,16.03846154,NA,
Apocynum.cannabinum,0.77,31,NA,
Apocynum.cannabinum,0.805,12.55813953,NA,
Apocynum.cannabinum,0.715,17.7,NA,
Apocynum.cannabinum,0.845,11.76,NA,
Apocynum.cannabinum,0.83,17.47154472,NA,
Apocynum.cannabinum,0.77,11.92021277,NA,
Apocynum.cannabinum,0.81,19.55555556,NA,
Apocynum.cannabinum,0.735,18.46969697,NA,
Apocynum.cannabinum,0.845,13.50980392,NA,
Apocynum.cannabinum,0.83,12.63043478,NA,
Apocynum.cannabinum,0.75,14.82051282,NA,
Apocynum.cannabinum,0.725,17.02631579,NA,
Apocynum.cannabinum,0.76,26.94594595,NA,
Apocynum.cannabinum,0.73,17.17647059,NA,
Apocynum.cannabinum,0.74,13.359375,NA,
Apocynum.cannabinum,0.765,15.7486911,NA,
Apocynum.cannabinum,0.72,13.01428571,NA,
Apocynum.cannabinum,0.905,14.86781609,NA,
Arctium.minus,NA,NA,9.4175,kew
Arnoglossum.atriplicifolium,1.4,12.98903108,2.67,field
Arnoglossum.atriplicifolium,1.12,14.17222222,NA,
Arnoglossum.atriplicifolium,1.1,9.672897196,NA,
Arnoglossum.atriplicifolium,1.27,12.73851921,NA,
Arnoglossum.atriplicifolium,1.23,11.98383838,NA,
Arnoglossum.atriplicifolium,1.22,11.75794872,NA,
Arnoglossum.atriplicifolium,1.48,12.36353945,NA,
Arnoglossum.atriplicifolium,1.15,13.57601713,NA,
Arnoglossum.atriplicifolium,1.08,14.49530957,NA,
Arnoglossum.atriplicifolium,1.25,11.74983051,NA,
Arnoglossum.atriplicifolium,1.1,9.993908629,NA,
Arnoglossum.atriplicifolium,1.15,10.73940487,NA,
Arnoglossum.atriplicifolium,1.55,14.14209115,NA,
Arnoglossum.atriplicifolium,0.12,11.38957055,NA,
Arnoglossum.atriplicifolium,1.47,14.34699454,NA,
Arnoglossum.atriplicifolium,1.12,12.01035197,NA,
Arnoglossum.atriplicifolium,1.35,10.27843137,NA,
Arnoglossum.atriplicifolium,1.55,12.88336933,NA,
Arnoglossum.atriplicifolium,1.2,12.25673014,NA,
Arnoglossum.atriplicifolium,1.7,12.60454545,NA,
Artemisia.campestris,NA,NA,0.120833333,kew
Asclepias.syriaca,1.23,13.27108014,6.216625,field
Asclepias.syriaca,1.05,13.68648019,NA,
Asclepias.syriaca,1.17,13.6827957,NA,
Asclepias.syriaca,1.11,13.92476489,NA,
Asclepias.syriaca,1.16,14.39126117,NA,
Asclepias.syriaca,1.33,13.47181373,NA,
Asclepias.syriaca,1.28,15.24342857,NA,
Asclepias.syriaca,1.2,15.66745006,NA,
Asclepias.syriaca,1.115,10.37190635,NA,
Asclepias.syriaca,1.31,14.62909091,NA,
Asclepias.syriaca,1.325,14.71732817,NA,
Asclepias.syriaca,1.22,14.33364929,NA,
Asclepias.syriaca,1.3,15.99057493,NA,
Asclepias.syriaca,1.22,14.08689139,NA,
Asclepias.syriaca,1.38,15.60157791,NA,
Asclepias.syriaca,1.18,12.88767551,NA,
Asclepias.syriaca,1.38,15.24220624,NA,
Asclepias.syriaca,1.25,15.2647334,NA,
Asclepias.syriaca,1.065,13.22473246,NA,
Asclepias.syriaca,1.27,14.38733706,NA,
Asclepias.tuberosa,0.6,18.66666667,6.793888889,field
Asclepias.tuberosa,0.6,18.20779221,NA,
Asclepias.tuberosa,0.415,21.51851852,NA,
Asclepias.tuberosa,0.41,19.52830189,NA,
Asclepias.tuberosa,0.65,17.52631579,NA,
Asclepias.tuberosa,0.535,19.64583333,NA,
Asclepias.tuberosa,0.59,17.5,NA,
Asclepias.tuberosa,0.555,17.74509804,NA,
Asclepias.tuberosa,0.685,15.44230769,NA,
Asclepias.tuberosa,0.615,14.1875,NA,
Asclepias.tuberosa,0.435,20.04175365,NA,
Asclepias.tuberosa,0.5,18.37931034,NA,
Asclepias.tuberosa,0.415,21.125,NA,
Asclepias.tuberosa,0.455,19.90740741,NA,
Asclepias.tuberosa,0.625,14.98076923,NA,
Asclepias.tuberosa,0.55,15.42622951,NA,
Asclepias.tuberosa,0.525,17.91596639,NA,
Asclepias.tuberosa,0.585,22.60714286,NA,
Asclepias.tuberosa,0.555,18.92592593,NA,
Asclepias.tuberosa,0.615,20,NA,
Asclepias.verticillata,NA,NA,2.199,field
Astragalus.canadensis,NA,NA,1.741176471,field
Baptisia.lactea,1.13,NA,16.42,field
Baptisia.lactea,0.91,NA,NA,
Baptisia.lactea,0.93,NA,NA,
Baptisia.lactea,0.9,NA,NA,
Baptisia.lactea,0.82,NA,NA,
Baptisia.lactea,1.12,NA,NA,
Baptisia.lactea,1.03,NA,NA,
Baptisia.lactea,1.18,NA,NA,
Baptisia.lactea,0.98,NA,NA,
Baptisia.lactea,0.835,NA,NA,
Baptisia.lactea,0.98,NA,NA,
Baptisia.lactea,0.99,NA,NA,
Baptisia.lactea,0.93,NA,NA,
Baptisia.lactea,0.865,NA,NA,
Baptisia.lactea,0.97,NA,NA,
Baptisia.lactea,0.86,NA,NA,
Baptisia.lactea,0.955,NA,NA,
Baptisia.lactea,0.865,NA,NA,
Baptisia.lactea,0.71,NA,NA,
Baptisia.lactea,0.85,NA,NA,
Barbarea.vulgaris,NA,NA,0.596909091,kew
Berteroa.incana,NA,NA,0.384875,kew
Bouteloua.curtipendula,0.44,8.958762887,1.618333333,field
Bouteloua.curtipendula,0.5,11.85416667,NA,
Bouteloua.curtipendula,0.42,13.23404255,NA,
Bouteloua.curtipendula,0.42,8.283185841,NA,
Bouteloua.curtipendula,0.44,11.02325581,NA,
Bouteloua.curtipendula,0.42,16.13636364,NA,
Bouteloua.curtipendula,0.43,10.08490566,NA,
Bouteloua.curtipendula,0.4,14.42857143,NA,
Bouteloua.curtipendula,0.38,6.50877193,NA,
Bouteloua.curtipendula,0.44,13.2826087,NA,
Bouteloua.curtipendula,0.48,10.93181818,NA,
Bouteloua.curtipendula,0.44,13.25,NA,
Bouteloua.curtipendula,0.4,16.61538462,NA,
Bouteloua.curtipendula,0.34,11.86320755,NA,
Bouteloua.curtipendula,0.79,15.1509434,NA,
Bouteloua.curtipendula,0.7,12.70491803,NA,
Bouteloua.curtipendula,0.55,5.167714885,NA,
Bouteloua.curtipendula,0.37,10.68,NA,
Bouteloua.curtipendula,0.33,5.142857143,NA,
Bouteloua.curtipendula,0.47,9.671641791,NA,
Brickellia.eupatorioides,NA,NA,0.94,field
Bromus.inermis,0.72,18.50724638,2.857142857,field
Bromus.inermis,0.85,15.4047619,NA,
Bromus.inermis,0.56,18.27380952,NA,
Bromus.inermis,0.64,16.58333333,NA,
Bromus.inermis,0.65,16.86,NA,
Bromus.inermis,0.585,15.01724138,NA,
Bromus.inermis,0.695,16.33928571,NA,
Bromus.inermis,0.845,18.81081081,NA,
Bromus.inermis,0.58,17.04545455,NA,
Bromus.inermis,0.7,15.34042553,NA,
Bromus.inermis,0.68,13.88888889,NA,
Bromus.inermis,0.75,15.26530612,NA,
Bromus.inermis,0.62,17.17307692,NA,
Bromus.inermis,0.645,15.48979592,NA,
Bromus.inermis,0.69,18.16,NA,
Bromus.inermis,0.74,13.26190476,NA,
Bromus.inermis,0.54,12.63636364,NA,
Bromus.inermis,0.64,16.19148936,NA,
Bromus.inermis,0.855,17.3372093,NA,
Bromus.inermis,0.9,16.453125,NA,
Bromus.kalmii,NA,NA,2.575333333,field
Calamagrostis.canadensis,NA,NA,0.0985,field
Carex.annectens,NA,NA,0.43,field
Carex.bicknellii,NA,NA,1.315,field
Carex.brevior,NA,NA,0.89,field
Carex.crinita,NA,NA,0.671857143,field
Carex.granularis,NA,NA,0.492,field
Carex.normalis,NA,NA,0.73,field
Carex.pellita,NA,NA,1.8,field
Ceanothus.americanus,NA,NA,3.419625,field
Celastrus.orbiculatus,NA,NA,9.825555556,kew
Centaurea.stoebe,1,NA,NA,
Centaurea.stoebe,1.1,NA,NA,
Centaurea.stoebe,1.07,NA,NA,
Centaurea.stoebe,0.99,NA,NA,
Centaurea.stoebe,1.08,NA,NA,
Centaurea.stoebe,0.98,NA,NA,
Centaurea.stoebe,1.06,NA,NA,
Centaurea.stoebe,1.21,NA,NA,
Centaurea.stoebe,1.37,NA,NA,
Centaurea.stoebe,0.91,NA,NA,
Centaurea.stoebe,1.3,NA,NA,
Centaurea.stoebe,1.12,NA,NA,
Centaurea.stoebe,1.23,NA,NA,
Centaurea.stoebe,1.12,NA,NA,
Centaurea.stoebe,1.14,NA,NA,
Centaurea.stoebe,1.21,NA,NA,
Centaurea.stoebe,1.04,NA,NA,
Centaurea.stoebe,0.95,NA,NA,
Centaurea.stoebe,1.07,NA,NA,
Centaurea.stoebe,1.03,NA,NA,
Cerastium.fontanum,NA,NA,0.14117,kew
Cerastium.pumilum,NA,NA,0.046,kew
Chamaecrista.fasciculata,NA,NA,8.603636364,field
Chenopodium.album,NA,NA,0.718166667,kew
Cichorium.intybus,NA,NA,3.326153846,kew
Cirsium.arvense,NA,NA,1.303894737,kew
Conyza.canadensis,NA,NA,0.057357143,kew
Coreopsis.lanceolata,0.127,16.09677419,1.306545455,field
Coreopsis.lanceolata,0.1143,18.85714286,NA,
Coreopsis.lanceolata,0.0889,16.9,NA,
Coreopsis.lanceolata,0.1524,14.775,NA,
Coreopsis.lanceolata,0.10795,18.36363636,NA,
Coreopsis.lanceolata,0.2032,15.46666667,NA,
Coreopsis.lanceolata,0.1397,17.5625,NA,
Coreopsis.lanceolata,0.12065,15.875,NA,
Coreopsis.lanceolata,0.17145,17.92857143,NA,
Coreopsis.lanceolata,0.127,15.89473684,NA,
Coreopsis.lanceolata,0.1397,19.09090909,NA,
Coreopsis.lanceolata,0.04445,16.42307692,NA,
Coreopsis.lanceolata,0.1143,17.27586207,NA,
Coreopsis.lanceolata,0.1143,13.86956522,NA,
Coreopsis.lanceolata,0.14605,15.40425532,NA,
Coreopsis.lanceolata,0.17145,17.52173913,NA,
Coreopsis.lanceolata,0.1905,16.61538462,NA,
Coreopsis.lanceolata,0.0762,14.14545455,NA,
Coreopsis.lanceolata,0.0889,15.95,NA,
Coreopsis.lanceolata,0.06985,16.4,NA,
Coreopsis.palmata,NA,NA,1.9895,field
Coreopsis.tinctoria,NA,NA,0.29,field
Coreopsis.tripteris,NA,7.86036036,2.56,field
Coreopsis.tripteris,NA,8.07112069,NA,
Coreopsis.tripteris,NA,7.198591549,NA,
Coreopsis.tripteris,NA,8.83880597,NA,
Coreopsis.tripteris,NA,9.427536232,NA,
Coreopsis.tripteris,NA,10.15361446,NA,
Coreopsis.tripteris,NA,8.478927203,NA,
Coreopsis.tripteris,NA,8.38317757,NA,
Coreopsis.tripteris,NA,8.162303665,NA,
Coreopsis.tripteris,NA,8.96373057,NA,
Coreopsis.tripteris,NA,8.402671756,NA,
Coreopsis.tripteris,NA,9.059620596,NA,
Coreopsis.tripteris,NA,7.988826816,NA,
Coreopsis.tripteris,NA,8.722222222,NA,
Coreopsis.tripteris,NA,9.319410319,NA,
Coreopsis.tripteris,NA,8.72,NA,
Coreopsis.tripteris,NA,7.893353941,NA,
Coreopsis.tripteris,NA,7.953703704,NA,
Cornus,NA,NA,58.94433681,kew
Cyperus.strigosus,NA,NA,0.354666667,kew
Dactylis.glomerata,NA,NA,0.884960784,kew
Dalea.candida,NA,NA,2.606733333,field
Dalea.purpurea,NA,NA,3.457272727,field
Daucus.carota,0.865,7.165306122,1.101988235,kew
Daucus.carota,0.93,4.162790698,NA,
Daucus.carota,0.775,4.814102564,NA,
Daucus.carota,0.85,7.53,NA,
Daucus.carota,0.97,5.117647059,NA,
Daucus.carota,0.95,12.7005988,NA,
Daucus.carota,0.67,5.055214724,NA,
Daucus.carota,0.65,3.157407407,NA,
Daucus.carota,0.835,5.250704225,NA,
Daucus.carota,1.14,5.694677871,NA,
Daucus.carota,0.795,6,NA,
Daucus.carota,1.165,3.130136986,NA,
Daucus.carota,0.96,5.492537313,NA,
Daucus.carota,1.005,4.139784946,NA,
Daucus.carota,0.795,5.71957672,NA,
Daucus.carota,1.015,6.371549894,NA,
Daucus.carota,1.13,6.430769231,NA,
Daucus.carota,0.95,6.213636364,NA,
Daucus.carota,1.65,4.975694444,NA,
Daucus.carota,1.12,4.493506494,NA,
Desmanthus.illinoensis,NA,NA,5.987571429,field
Desmodium.canadense,1.18,15.4,5.195555556,field
Desmodium.canadense,1.055,17.30405405,NA,
Desmodium.canadense,1.275,17.01904762,NA,
Desmodium.canadense,1.205,19.5826087,NA,
Desmodium.canadense,0.95,16.19337017,NA,
Desmodium.canadense,0.95,16.61290323,NA,
Desmodium.canadense,1.18,19.16438356,NA,
Desmodium.canadense,1.28,15.7278481,NA,
Desmodium.canadense,0.89,15.90131579,NA,
Desmodium.canadense,1.18,16.0610687,NA,
Desmodium.canadense,1.07,17.01282051,NA,
Desmodium.canadense,1.05,14.59116022,NA,
Desmodium.canadense,1.185,17.26666667,NA,
Desmodium.canadense,1.245,15.09868421,NA,
Desmodium.canadense,1.19,16.51666667,NA,
Desmodium.canadense,1.3,16.22556391,NA,
Desmodium.canadense,1.175,17.61805556,NA,
Desmodium.canadense,1.135,17.09550562,NA,
Desmodium.canadense,1.215,15.90517241,NA,
Desmodium.canadense,1.105,16.20642202,NA,
Desmodium.illinoense,NA,NA,6.6,field
Desmodium.paniculatum,NA,NA,3.192,kew
Desmodium.rigidum,NA,NA,2.537,kew
Dianthus.armeria,NA,NA,0.711428571,kew
Dichanthelium.clandestinum,0.99,22.71934922,NA,
Dichanthelium.clandestinum,1.01,21.62887828,NA,
Dichanthelium.clandestinum,0.92,24.4806338,NA,
Dichanthelium.clandestinum,NA,18.56731165,NA,
Dichanthelium.clandestinum,1.15,22.36206897,NA,
Dichanthelium.clandestinum,1.02,17.04991587,NA,
Dichanthelium.clandestinum,0.86,20.17037037,NA,
Dichanthelium.clandestinum,NA,22.66348774,NA,
Dichanthelium.clandestinum,NA,19.33201385,NA,
Dichanthelium.clandestinum,NA,24.9127907,NA,
Dichanthelium.clandestinum,NA,19.09090909,NA,
Dichanthelium.clandestinum,1.21,23.39879154,NA,
Dichanthelium.clandestinum,NA,27.72300469,NA,
Dichanthelium.clandestinum,NA,24.24258199,NA,
Dichanthelium.clandestinum,NA,25.48667439,NA,
Dichanthelium.clandestinum,1,22.30944255,NA,
Dichanthelium.clandestinum,NA,23.75167785,NA,
Dichanthelium.clandestinum,1.1,21.17647059,NA,
Dichanthelium.clandestinum,1.13,17.43622449,NA,
Dichanthelium.clandestinum,NA,26.46464646,NA,
Digitaria.cognata,NA,NA,0.55,kew
Echinacea.angustifolia,NA,NA,138.3555556,field
Echinacea.angustifolia,NA,NA,138.3555556,kew
Echinacea.pallida,0.47,9.460176991,5.66,field
Echinacea.pallida,0.355,7.676190476,NA,
Echinacea.pallida,0.56,11.0042735,NA,
Echinacea.pallida,0.4,9.435406699,NA,
Echinacea.pallida,0.485,9.883435583,NA,
Echinacea.pallida,0.54,7.587378641,NA,
Echinacea.pallida,0.555,8.77238806,NA,
Echinacea.pallida,0.51,9.541284404,NA,
Echinacea.pallida,0.715,11.44654088,NA,
Echinacea.pallida,0.725,11.96153846,NA,
Echinacea.pallida,0.91,10.16170213,NA,
Echinacea.pallida,0.49,9.245070423,NA,
Echinacea.pallida,0.565,10.87943262,NA,
Echinacea.pallida,0.785,7.615384615,NA,
Echinacea.pallida,0.64,9.909090909,NA,
Echinacea.pallida,0.86,9.544891641,NA,
Echinacea.pallida,0.61,9.886597938,NA,
Echinacea.pallida,0.62,9.013157895,NA,
Echinacea.pallida,0.565,10.44021739,NA,
